ID,NOM,NOM_M,INSEE_COM,STATUT,POPULATION,INSEE_CAN,INSEE_ARR,INSEE_DEP,INSEE_REG,SIREN_EPCI
COMMUNE_0000000009742341,La Guerche-de-Bretagne,LA GUERCHE-DE-BRETAGNE,35125,Commune simple,4347,10,1,35,53,200039022
COMMUNE_0000000009741415,Saint-Léry,SAINT-LERY,56225,Commune simple,205,13,2,56,53,200066777
COMMUNE_0000000009741763,Kerfourn,KERFOURN,56092,Commune simple,831,15,2,56,53,245614433
COMMUNE_0000000009742381,Cléguer,CLEGUER,56040,Commune simple,3348,05,1,56,53,200042174
COMMUNE_0000000009741036,Thorigné-Fouillard,THORIGNE-FOUILLARD,35334,Commune simple,8582,13,3,35,53,243500139
COMMUNE_0000000009742084,Tréguennec,TREGUENNEC,29292,Commune simple,313,19,4,29,53,242900702
COMMUNE_0000000009739464,Tramain,TRAMAIN,22341,Commune simple,697,16,4,22,53,200069391
COMMUNE_0000000009743701,Rochefort-en-Terre,ROCHEFORT-EN-TERRE,56196,Commune simple,635,16,3,56,53,245614383
COMMUNE_0000000009741777,Saint-Évarzec,SAINT-EVARZEC,29247,Commune simple,3508,11,4,29,53,242900660
COMMUNE_0000000009739876,Sévignac,SEVIGNAC,22337,Commune simple,1116,02,4,22,53,200069391
COMMUNE_0000000009740276,Médréac,MEDREAC,35171,Commune simple,1837,15,3,35,53,200038990
COMMUNE_0000000009739910,Saint-Nic,SAINT-NIC,29256,Commune simple,752,09,2,29,53,200067247
COMMUNE_0000000009738130,Loc-Envel,LOC-ENVEL,22129,Commune simple,72,03,2,22,53,200067981
COMMUNE_0000000009738537,Pléven,PLEVEN,22200,Commune simple,610,14,1,22,53,200068989
COMMUNE_0000000009739499,Lopérec,LOPEREC,29139,Commune simple,879,07,2,29,53,200067197
COMMUNE_0000000009742031,Bais,BAIS,35014,Commune simple,2488,10,1,35,53,200039022
COMMUNE_0000000009742379,Inzinzac-Lochrist,INZINZAC-LOCHRIST,56090,Commune simple,6571,05,1,56,53,200042174
COMMUNE_0000000009738981,Dinan,DINAN,22050,Sous-préfecture,14675,04,1,22,53,200068989
COMMUNE_0000000009739897,Treffrin,TREFFRIN,22351,Commune simple,533,23,2,22,53,242900744
COMMUNE_0000000009739505,Argol,ARGOL,29001,Commune simple,1021,09,2,29,53,200066868
COMMUNE_0000000009743038,Locmiquélic,LOCMIQUELIC,56118,Commune simple,4075,06,1,56,53,200042174
COMMUNE_0000000009739905,Pleyben,PLEYBEN,29162,Commune simple,3605,06,2,29,53,200067247
COMMUNE_0000000009738513,Sains,SAINS,35248,Commune simple,458,07,4,35,53,200070670
COMMUNE_0000000009741034,Dourdain,DOURDAIN,35101,Commune simple,1224,13,3,35,53,243500774
COMMUNE_0000000009740678,Le Crouais,LE CROUAIS,35091,Commune simple,593,15,3,35,53,200038990
COMMUNE_0000000009741445,Tourch,TOURCH,29281,Commune simple,1007,08,4,29,53,242900769
COMMUNE_0000000009740305,Saint-Hernin,SAINT-HERNIN,29250,Commune simple,742,07,2,29,53,242900744
COMMUNE_0000002200276586,Forges de Lanouée,FORGES DE LANOUEE,56102,Commune simple,2130,13,2,56,53,200066777
COMMUNE_0000000009741447,Ergué-Gabéric,ERGUE-GABERIC,29051,Commune simple,8553,11,4,29,53,200068120
COMMUNE_0000000009741406,Talensac,TALENSAC,35331,Commune simple,2516,16,3,35,53,243500550
COMMUNE_0000000009740268,Saint-Brieuc-des-Iffs,SAINT-BRIEUC-DES-IFFS,35258,Commune simple,326,06,4,35,53,243500733
COMMUNE_0000000009738577,Tréflévénez,TREFLEVENEZ,29286,Commune simple,241,21,1,29,53,242900801
COMMUNE_0000000009741051,Boisgervilly,BOISGERVILLY,35027,Commune simple,1756,15,3,35,53,200038990
COMMUNE_0000000009738148,Saint-Divy,SAINT-DIVY,29245,Commune simple,1587,13,1,29,53,242900801
COMMUNE_0000000009742052,Loyat,LOYAT,56122,Commune simple,1701,13,2,56,53,200066777
COMMUNE_0000000009742353,Laillé,LAILLE,35139,Commune simple,5131,04,3,35,53,243500139
COMMUNE_0000000009739470,Saint-Trimoël,SAINT-TRIMOEL,22332,Commune simple,513,16,4,22,53,200069391
COMMUNE_0000002200276588,Pluméliau-Bieuzy,PLUMELIAU-BIEUZY,56173,Commune simple,4438,15,2,56,53,200096675
COMMUNE_0000000009737204,Tréveneuc,TREVENEUC,22377,Commune simple,804,22,4,22,53,200069409
COMMUNE_0000000009741391,Champeaux,CHAMPEAUX,35052,Commune simple,507,27,1,35,53,200039022
COMMUNE_0000000009741402,La Chapelle-Thouarault,LA CHAPELLE-THOUARAULT,35065,Commune simple,2252,24,3,35,53,243500139
COMMUNE_0000000009738959,Saint-Georges-de-Reintembault,SAINT-GEORGES-DE-REINTEMBAULT,35271,Commune simple,1507,09,1,35,53,200072452
COMMUNE_0000000009738552,Plerneuf,PLERNEUF,22188,Commune simple,1115,15,2,22,53,200069086
COMMUNE_0000000009744364,Muzillac,MUZILLAC,56143,Commune simple,5041,11,3,56,53,200027027
COMMUNE_0000000009737672,Tressignaux,TRESSIGNAUX,22375,Commune simple,694,22,2,22,53,200069086
COMMUNE_0000000009739861,Saint-Judoce,SAINT-JUDOCE,22306,Commune simple,578,08,1,22,53,200068989
COMMUNE_0000000009736245,Pleudaniel,PLEUDANIEL,22196,Commune simple,929,27,3,22,53,200065928
COMMUNE_0000000009738521,Roz-Landrieux,ROZ-LANDRIEUX,35246,Commune simple,1374,07,4,35,53,200070670
COMMUNE_0000000009741087,Mahalon,MAHALON,29143,Commune simple,994,10,4,29,53,242900629
COMMUNE_0000000009737682,Pédernec,PEDERNEC,22164,Commune simple,1874,01,2,22,53,200067981
COMMUNE_0000000009743702,Malansac,MALANSAC,56123,Commune simple,2244,16,3,56,53,245614383
COMMUNE_0000000009741739,Vern-sur-Seiche,VERN-SUR-SEICHE,35352,Commune simple,8233,12,3,35,53,243500139
COMMUNE_0000000009738114,Plérin,PLERIN,22187,Commune simple,14704,18,4,22,53,200069409
COMMUNE_0000000009744032,Saint-Gorgon,SAINT-GORGON,56216,Commune simple,414,04,3,56,53,243500741
COMMUNE_0000000009741419,Brignac,BRIGNAC,56025,Commune simple,196,13,2,56,53,200066777
COMMUNE_0000000009739904,Le Cloître-Pleyben,LE CLOITRE-PLEYBEN,29033,Commune simple,513,06,2,29,53,200067247
COMMUNE_0000000009741428,Gueltas,GUELTAS,56072,Commune simple,513,15,2,56,53,245614433
COMMUNE_0000000009739839,Saint-Germain-en-Coglès,SAINT-GERMAIN-EN-COGLES,35273,Commune simple,2086,01,1,35,53,200070688
COMMUNE_0000000009742695,Réminiac,REMINIAC,56191,Commune simple,430,04,3,56,53,200066785
COMMUNE_0000000009737675,Le Merzer,LE MERZER,22150,Commune simple,961,05,2,22,53,200069086
COMMUNE_0000000009740693,Saint-Aignan,SAINT-AIGNAN,56203,Commune simple,630,02,2,56,53,245614433
COMMUNE_0000000009743715,Auray,AURAY,56007,Commune simple,14222,01,1,56,53,200043123
COMMUNE_0000000009743036,Kervignac,KERVIGNAC,56094,Commune simple,6966,06,1,56,53,245600440
COMMUNE_0000000009738084,Saint-Marcan,SAINT-MARCAN,35291,Commune simple,434,07,4,35,53,200070670
COMMUNE_0000000009737660,Saint-Cast-le-Guildo,SAINT-CAST-LE-GUILDO,22282,Commune simple,3334,17,1,22,53,200068989
COMMUNE_0000000009740666,Romillé,ROMILLE,35245,Commune simple,4119,15,3,35,53,243500139
COMMUNE_0000000009745237,Hœdic,HŒDIC,56085,Commune simple,100,17,1,56,53,200043123
COMMUNE_0000000009739432,Le Châtellier,LE CHATELLIER,35071,Commune simple,430,01,1,35,53,200070688
COMMUNE_0000000009741784,Pouldreuzic,POULDREUZIC,29225,Commune simple,2143,19,4,29,53,242900710
COMMUNE_0000000009740676,Saint-Méen-le-Grand,SAINT-MEEN-LE-GRAND,35297,Commune simple,4603,15,3,35,53,200038990
COMMUNE_0000000009737655,Dinard,DINARD,35093,Commune simple,10219,26,4,35,53,243500725
COMMUNE_0000000009741081,Gourlizon,GOURLIZON,29065,Commune simple,937,19,4,29,53,242900710
COMMUNE_0000000009736754,Lanmeur,LANMEUR,29113,Commune simple,2362,20,3,29,53,242900835
COMMUNE_0000000009741743,Saint-Jacques-de-la-Lande,SAINT-JACQUES-DE-LA-LANDE,35281,Commune simple,13656,22,3,35,53,243500139
COMMUNE_0000000009740715,Douarnenez,DOUARNENEZ,29046,Commune simple,14163,10,4,29,53,242900645
COMMUNE_0000000009739900,Carhaix-Plouguer,CARHAIX-PLOUGUER,29024,Commune simple,7240,07,2,29,53,242900744
